metric_desc,metric_val_30,metric_val_25,metric_val_20,metric_val_15,metric_val_10,metric_val_5,metric_val_0
clicked:sessionnotealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:beaconmessageinfoemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:messagealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
clicked:leadsreportemailemail:Conference,50.0000,50.0000,11.7600,11.4300,11.4300,11.4300,11.1100
unsubscribed:dailydigestemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:setupleadscanningcalltoactionemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:leadsreportemailemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:dailydigestemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:exhibitoropportunityemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:setupleadscanningcalltoactionemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Conference,,,,,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:exhibitoropportunityemail:Corporate Internal,,,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:dailydigestemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:unknownemail:Expo,,,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:dailydigestemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:exhibitoropportunityemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:leadsreportemailemail:Corporate External,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:setupleadscanningcalltoactionemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:exhibitoropportunityemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:dailydigestemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:setupleadscanningcalltoactionemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:welcomeemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:setupleadscanningcalltoactionemail:Corporate Internal,,,,,0.0000,0.0000,0.0000
unsubscribed:passwordresetemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:dailydigestemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:leadsreportemailemail:Expo,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:sessionnotealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:beaconmessageinfoemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:messagealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
unsubscribed:leadsreportemailemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:dailydigestemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:messagealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:welcomeemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:setupleadscanningcalltoactionemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:passwordresetemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:beaconmessageinfoemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:leadsreportemailemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:messagealertemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:dailydigestemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:exhibitoropportunityemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:passwordresetemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:sessionnotealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:welcomeemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:setupleadscanningcalltoactionemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:beaconmessageinfoemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:beaconmessageinfoemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:sessionnotealertemail:Conference,,,,,0.0000,0.0000,0.0000
stored:messagealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:passwordresetemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:sessionnotealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:welcomeemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:exhibitoropportunityemail:Corporate Internal,,,0.0000,0.0000,0.0000,0.0000,0.0000
stored:dailydigestemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:unknownemail:Expo,,,0.0000,0.0000,0.0000,0.0000,0.0000
stored:messagealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:dailydigestemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:exhibitoropportunityemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:leadsreportemailemail:Corporate External,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:beaconmessageinfoemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:passwordresetemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:sessionnotealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:welcomeemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:setupleadscanningcalltoactionemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:exhibitoropportunityemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:messagealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:dailydigestemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:passwordresetemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:beaconmessageinfoemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:welcomeemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:setupleadscanningcalltoactionemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:sessionnotealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:welcomeemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:setupleadscanningcalltoactionemail:Corporate Internal,,,,,0.0000,0.0000,0.0000
stored:passwordresetemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:dailydigestemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:leadsreportemailemail:Expo,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:sessionnotealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:beaconmessageinfoemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:messagealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
stored:leadsreportemailemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Conference,0.0000,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100
complained:setupleadscanningcalltoactionemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:leadsreportemailemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100
complained:exhibitoropportunityemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Expo,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200,0.0100
complained:setupleadscanningcalltoactionemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Conference,,,,,0.0000,0.0000,0.0000
complained:messagealertemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:exhibitoropportunityemail:Corporate Internal,,,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:unknownemail:Expo,,,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:Unknown,0.0200,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000
complained:exhibitoropportunityemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:leadsreportemailemail:Corporate External,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:setupleadscanningcalltoactionemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:exhibitoropportunityemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:dailydigestemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:passwordresetemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Expo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:setupleadscanningcalltoactionemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:welcomeemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:setupleadscanningcalltoactionemail:Corporate Internal,,,,,0.0000,0.0000,0.0000
complained:passwordresetemail:Corporate Internal,0.0000,0.0000,0.0200,0.0100,0.0100,0.0100,0.0100
complained:dailydigestemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100
complained:leadsreportemailemail:Expo,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:sessionnotealertemail:No Event Type,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:beaconmessageinfoemail:Corporate External,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:messagealertemail:Corporate Internal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
complained:leadsreportemailemail:Conference,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
